marca,modelo,AÑO,PCD,Diametro de rin,ancho de rin
chevrolet,alto,1988-2016,4X100,13,"5,5-6-6,5"
chevrolet,astra,1990-2008,4X100,13,"5,5-6-6,5"
daewoo,cielo,1994-2002,4X100,13,"5,5-6-6,5"
daewoo,lanos,2005-2009,4X100,13,"5,5-6-6,5"
daewoo,racer,1994-1997,4X100,13,"5,5-6-6,5"
daewoo,tico,1991-2001,4X100,13,"5,5-6-6,5"
hiunday,atos,2001-2008,4X100,13,"5,5-6-6,5"
hiunday,eon,2015-2016,4X100,13,"5,5-6-6,5"
kia,sephia,1995-1998,4X100,13,"5,5-6-6,5"
kia,stylus,2010-2016,4X100,13,"5,5-6-6,5"
mazda,323,1990-2002,4x100,13,"5,5-6-6,5"
mazda,demio,1997-2008,4x100,13,"5,5-6-6,5"
renault,twingo,1993-2016,4x100,13,"5,5-6-6,5"
skoda,felicia,1994-2001,4x100,13,"5,5-6-6,5"
suzuki,alto,2002-2016,4x100,13,"5,5-6-6,5"
byd,f0,2006-2012,4X100,14,"5,5-6-6,5"
chevrolet,corsa,2000-2016,4x100,14,"5,5-6-6,5"
chevrolet,spark gt,2013-2016,4x100,14,"5,5-6-6,5"
ford,laser,1990-2007,4X100,14,"5,5-6-6,5"
geely,ck taxi,2010-2016,4x100,14,"5,5-6-6,5"
geely,lc,2010-2016,4X100,14,"5,5-6-6,5"
hiunday,accent,2000-2016,4X100,14,"5,5-6-6,5"
hiunday,getz,2002-2008,4X100,14,"5,5-6-6,5"
hiunday,grand city taxi,2013-2016,4x100,14,"5,5-6-6,5"
hiunday,i10,2008-2015,4X100,14,"5,5-6-6,5"
hiunday,i10 sedan,2014-2016,4X100,14,"5,5-6-6,5"
hiunday,i25 sedan,2014-2016,4X100,14,"5,5-6-6,5"
jac,j2,2011-2014,4X100,14,"5,5-6-6,5"
jac,j3,2011-2016,4X100,14,"5,5-6-6,5"
kia,picanto ion,2004-2016,4X100,14,"5,5-6-6,5"
kia,rio,2000-2016,4X100,14,"5,5-6-6,5"
mazda,2,2008-2016,4x100,14,"5,5-6-6,5"
mazda,allegro,1990-2004,4X100,14,"5,5-6-6,5"
mitsubishi,lancer,1991-2006,4X100,14,"5,5-6-6,5"
nissan,almera,1994-1999,4x100,14,"5,5-6-6,5"
renault,clio,1990-2016,4x100,14,"5,5-6-6,5"
renault,express taxi,2012-2016,4x100,14,"5,5-6-6,5"
renault,kangoo,1998-2012,4x100,14,"5,5-6-6,5"
renault,simbol,1999-2016,4x100,14,"5,5-6-6,5"
suzuki,celerio,2015-2016,4x100,14,"5,5-6-6,5"
suzuki,dzire,2012-2016,4x100,14,"5,5-6-6,5"
suzuki,swift live,2004-2016,4x100,14,"5,5-6-6,5"
volkswagen,polo,1990-2000,4x100,14,"5,5-6-6,5"
volkswagen,saveiro,2010-2014,4x100,14,"5,5-6-6,5"
chevrolet,alto,1988-2016,4X100,14,"5,5-6-6,5"
chevrolet,astra,1990-2008,4X100,14,"5,5-6-6,5"
daewoo,cielo,1994-2002,4X100,14,"5,5-6-6,5"
daewoo,lanos,2005-2009,4X100,14,"5,5-6-6,5"
daewoo,racer,1994-1997,4X100,14,"5,5-6-6,5"
daewoo,tico,1991-2001,4X100,14,"5,5-6-6,5"
hiunday,atos,2001-2008,4X100,14,"5,5-6-6,5"
hiunday,eon,2015-2016,4X100,14,"5,5-6-6,5"
kia,sephia,1995-1998,4X100,14,"5,5-6-6,5"
kia,stylus,2010-2016,4X100,14,"5,5-6-6,5"
mazda,323,1990-2002,4x100,14,"5,5-6-6,5"
mazda,demio,1997-2008,4x100,14,"5,5-6-6,5"
renault,twingo,1993-2016,4x100,14,"5,5-6-6,5"
skoda,felicia,1994-2001,4x100,14,"5,5-6-6,5"
suzuki,alto,2002-2016,4x100,14,"5,5-6-6,5"
byd,f3,2006-2012,4X100,15,"6,5-7-7,5-8"
